[10/1200] 10.00 pages/s, ~2 min left
[20/1200] 20.00 pages/s, ~1 min left
[30/1200] 30.00 pages/s, ~1 min left
[40/1200] 40.00 pages/s, ~0 min left
[50/1200] 50.00 pages/s, ~0 min left
[60/1200] 60.00 pages/s, ~0 min left
[70/1200] 70.00 pages/s, ~0 min left
[80/1200] 80.00 pages/s, ~0 min left
[90/1200] 5.71 pages/s, ~3 min left
[100/1200] 6.35 pages/s, ~3 min left
[110/1200] 6.98 pages/s, ~3 min left
[120/1200] 7.61 pages/s, ~2 min left
[130/1200] 8.25 pages/s, ~2 min left
[140/1200] 8.88 pages/s, ~2 min left
[150/1200] 9.52 pages/s, ~2 min left
[160/1200] 10.15 pages/s, ~2 min left
[170/1200] 10.78 pages/s, ~2 min left
[180/1200] 11.42 pages/s, ~1 min left
[190/1200] 12.05 pages/s, ~1 min left
[200/1200] 12.68 pages/s, ~1 min left
[210/1200] 13.32 pages/s, ~1 min left
[220/1200] 13.95 pages/s, ~1 min left
[230/1200] 14.58 pages/s, ~1 min left
[240/1200] 15.22 pages/s, ~1 min left
[250/1200] 15.85 pages/s, ~1 min left
[260/1200] 16.48 pages/s, ~1 min left
[270/1200] 17.12 pages/s, ~1 min left
[280/1200] 17.75 pages/s, ~1 min left
[290/1200] 18.39 pages/s, ~1 min left
[300/1200] 19.02 pages/s, ~1 min left
[310/1200] 19.65 pages/s, ~1 min left
[320/1200] 20.29 pages/s, ~1 min left
[330/1200] 20.92 pages/s, ~1 min left
[340/1200] 20.07 pages/s, ~1 min left
[350/1200] 20.66 pages/s, ~1 min left
[360/1200] 21.25 pages/s, ~1 min left
[370/1200] 21.84 pages/s, ~1 min left
[380/1200] 22.43 pages/s, ~1 min left
[390/1200] 23.02 pages/s, ~1 min left
[400/1200] 23.61 pages/s, ~1 min left
[410/1200] 24.20 pages/s, ~1 min left
[420/1200] 24.79 pages/s, ~1 min left
[430/1200] 25.05 pages/s, ~1 min left
[440/1200] 25.64 pages/s, ~0 min left
[450/1200] 26.22 pages/s, ~0 min left
[460/1200] 26.80 pages/s, ~0 min left
[470/1200] 27.38 pages/s, ~0 min left
[480/1200] 27.96 pages/s, ~0 min left
[490/1200] 28.55 pages/s, ~0 min left
[500/1200] 29.13 pages/s, ~0 min left
[510/1200] 29.71 pages/s, ~0 min left
[520/1200] 30.29 pages/s, ~0 min left
[530/1200] 30.87 pages/s, ~0 min left
[540/1200] 31.45 pages/s, ~0 min left
[550/1200] 32.04 pages/s, ~0 min left
[560/1200] 32.62 pages/s, ~0 min left
[570/1200] 33.20 pages/s, ~0 min left
[580/1200] 33.78 pages/s, ~0 min left
[590/1200] 34.36 pages/s, ~0 min left
[600/1200] 34.94 pages/s, ~0 min left
[610/1200] 35.53 pages/s, ~0 min left
[620/1200] 36.11 pages/s, ~0 min left
[630/1200] 21.45 pages/s, ~0 min left
[640/1200] 21.80 pages/s, ~0 min left
[650/1200] 22.14 pages/s, ~0 min left
[660/1200] 22.48 pages/s, ~0 min left
[670/1200] 22.82 pages/s, ~0 min left
[680/1200] 23.16 pages/s, ~0 min left
[690/1200] 23.50 pages/s, ~0 min left
[700/1200] 22.08 pages/s, ~0 min left
[710/1200] 22.39 pages/s, ~0 min left
[720/1200] 21.85 pages/s, ~0 min left
[730/1200] 22.16 pages/s, ~0 min left
[740/1200] 22.46 pages/s, ~0 min left
[750/1200] 22.76 pages/s, ~0 min left
[760/1200] 23.07 pages/s, ~0 min left
[770/1200] 23.37 pages/s, ~0 min left
[780/1200] 23.49 pages/s, ~0 min left
[790/1200] 23.79 pages/s, ~0 min left
[800/1200] 24.09 pages/s, ~0 min left
[810/1200] 24.39 pages/s, ~0 min left
[820/1200] 24.69 pages/s, ~0 min left
[830/1200] 24.99 pages/s, ~0 min left
[840/1200] 25.29 pages/s, ~0 min left
[850/1200] 25.59 pages/s, ~0 min left
