[10/1200] 10.00 pages/s, ~2 min left
[20/1200] 20.00 pages/s, ~1 min left
[30/1200] 30.00 pages/s, ~1 min left
[40/1200] 40.00 pages/s, ~0 min left
[50/1200] 50.00 pages/s, ~0 min left
[60/1200] 1.35 pages/s, ~14 min left
[70/1200] 0.88 pages/s, ~21 min left
[80/1200] 0.66 pages/s, ~28 min left
[90/1200] 0.63 pages/s, ~29 min left
[100/1200] 0.67 pages/s, ~27 min left
[110/1200] 0.73 pages/s, ~25 min left
[120/1200] 0.80 pages/s, ~22 min left
[130/1200] 0.87 pages/s, ~21 min left
[140/1200] 0.93 pages/s, ~19 min left
[150/1200] 1.00 pages/s, ~17 min left
[160/1200] 1.07 pages/s, ~16 min left
[170/1200] 1.13 pages/s, ~15 min left
[180/1200] 1.20 pages/s, ~14 min left
[190/1200] 1.27 pages/s, ~13 min left
[200/1200] 1.34 pages/s, ~12 min left
[210/1200] 1.40 pages/s, ~12 min left
[220/1200] 1.47 pages/s, ~11 min left
[230/1200] 1.54 pages/s, ~11 min left
[240/1200] 1.60 pages/s, ~10 min left
[250/1200] 1.67 pages/s, ~9 min left
[260/1200] 1.74 pages/s, ~9 min left
[270/1200] 1.80 pages/s, ~9 min left
[280/1200] 1.87 pages/s, ~8 min left
[290/1200] 1.94 pages/s, ~8 min left
[300/1200] 2.00 pages/s, ~7 min left
[310/1200] 2.07 pages/s, ~7 min left
[320/1200] 2.14 pages/s, ~7 min left
[330/1200] 2.20 pages/s, ~7 min left
[340/1200] 2.27 pages/s, ~6 min left
[350/1200] 2.34 pages/s, ~6 min left
[360/1200] 2.40 pages/s, ~6 min left
[370/1200] 2.47 pages/s, ~6 min left
[380/1200] 2.54 pages/s, ~5 min left
[390/1200] 2.60 pages/s, ~5 min left
[400/1200] 2.67 pages/s, ~5 min left
[410/1200] 2.74 pages/s, ~5 min left
[420/1200] 2.80 pages/s, ~5 min left
[430/1200] 2.87 pages/s, ~4 min left
[440/1200] 2.94 pages/s, ~4 min left
[450/1200] 3.00 pages/s, ~4 min left
[460/1200] 3.07 pages/s, ~4 min left
[470/1200] 3.14 pages/s, ~4 min left
[480/1200] 3.20 pages/s, ~4 min left
[490/1200] 3.27 pages/s, ~4 min left
[500/1200] 3.34 pages/s, ~3 min left
[510/1200] 3.40 pages/s, ~3 min left
[520/1200] 3.47 pages/s, ~3 min left
[530/1200] 3.54 pages/s, ~3 min left
[540/1200] 3.60 pages/s, ~3 min left
[550/1200] 3.67 pages/s, ~3 min left
[560/1200] 3.74 pages/s, ~3 min left
[570/1200] 3.81 pages/s, ~3 min left
[580/1200] 3.87 pages/s, ~3 min left
[590/1200] 3.94 pages/s, ~3 min left
[600/1200] 4.01 pages/s, ~2 min left
[610/1200] 4.07 pages/s, ~2 min left
[620/1200] 4.14 pages/s, ~2 min left
[630/1200] 4.21 pages/s, ~2 min left
[640/1200] 4.27 pages/s, ~2 min left
[650/1200] 4.34 pages/s, ~2 min left
[660/1200] 4.41 pages/s, ~2 min left
[670/1200] 4.47 pages/s, ~2 min left
[680/1200] 4.54 pages/s, ~2 min left
[690/1200] 4.61 pages/s, ~2 min left
[700/1200] 4.67 pages/s, ~2 min left
[710/1200] 4.74 pages/s, ~2 min left
[720/1200] 4.81 pages/s, ~2 min left
[730/1200] 4.87 pages/s, ~2 min left
[740/1200] 4.94 pages/s, ~2 min left
[750/1200] 5.01 pages/s, ~1 min left
[760/1200] 5.07 pages/s, ~1 min left
[770/1200] 5.14 pages/s, ~1 min left
[780/1200] 5.21 pages/s, ~1 min left
[790/1200] 5.27 pages/s, ~1 min left
[800/1200] 5.34 pages/s, ~1 min left
[810/1200] 5.41 pages/s, ~1 min left
[820/1200] 5.47 pages/s, ~1 min left
[830/1200] 5.54 pages/s, ~1 min left
[840/1200] 5.61 pages/s, ~1 min left
[850/1200] 5.67 pages/s, ~1 min left
