[10/1200] 0.10 pages/s, ~190 min left
[20/1200] 0.12 pages/s, ~164 min left
[30/1200] 0.13 pages/s, ~149 min left
[40/1200] 0.13 pages/s, ~145 min left
[50/1200] 0.10 pages/s, ~193 min left
[60/1200] 0.02 pages/s, ~1148 min left
[70/1200] 0.01 pages/s, ~1827 min left
[80/1200] 0.01 pages/s, ~1812 min left
[90/1200] 0.01 pages/s, ~1850 min left
[100/1200] 0.01 pages/s, ~1833 min left
[110/1200] 0.01 pages/s, ~1817 min left
[120/1200] 0.01 pages/s, ~1800 min left
[130/1200] 0.01 pages/s, ~1783 min left
[140/1200] 0.01 pages/s, ~1767 min left
[150/1200] 0.01 pages/s, ~1750 min left
[160/1200] 0.01 pages/s, ~1733 min left
[170/1200] 0.01 pages/s, ~1717 min left
[180/1200] 0.01 pages/s, ~1700 min left
[190/1200] 0.01 pages/s, ~1683 min left
[200/1200] 0.01 pages/s, ~1589 min left
[210/1200] 0.01 pages/s, ~1502 min left
[220/1200] 0.01 pages/s, ~1422 min left
[230/1200] 0.01 pages/s, ~1350 min left
[240/1200] 0.01 pages/s, ~1284 min left
[250/1200] 0.01 pages/s, ~1223 min left
[260/1200] 0.01 pages/s, ~1167 min left
[270/1200] 0.01 pages/s, ~1113 min left
[280/1200] 0.01 pages/s, ~1064 min left
[290/1200] 0.01 pages/s, ~1018 min left
[300/1200] 0.02 pages/s, ~975 min left
[310/1200] 0.02 pages/s, ~935 min left
[320/1200] 0.02 pages/s, ~897 min left
[330/1200] 0.02 pages/s, ~861 min left
[340/1200] 0.02 pages/s, ~828 min left
[350/1200] 0.02 pages/s, ~796 min left
[360/1200] 0.02 pages/s, ~766 min left
[370/1200] 0.02 pages/s, ~738 min left
[380/1200] 0.02 pages/s, ~712 min left
[390/1200] 0.02 pages/s, ~686 min left
[400/1200] 0.02 pages/s, ~662 min left
[410/1200] 0.02 pages/s, ~639 min left
[420/1200] 0.02 pages/s, ~617 min left
[430/1200] 0.02 pages/s, ~596 min left
[440/1200] 0.02 pages/s, ~576 min left
[450/1200] 0.02 pages/s, ~557 min left
[460/1200] 0.02 pages/s, ~539 min left
[470/1200] 0.02 pages/s, ~521 min left
[480/1200] 0.02 pages/s, ~505 min left
[490/1200] 0.02 pages/s, ~488 min left
[500/1200] 0.02 pages/s, ~473 min left
[510/1200] 0.03 pages/s, ~458 min left
[520/1200] 0.03 pages/s, ~443 min left
[530/1200] 0.03 pages/s, ~429 min left
[540/1200] 0.03 pages/s, ~416 min left
[550/1200] 0.03 pages/s, ~403 min left
[560/1200] 0.03 pages/s, ~390 min left
[570/1200] 0.03 pages/s, ~378 min left
[580/1200] 0.03 pages/s, ~366 min left
[590/1200] 0.03 pages/s, ~355 min left
[600/1200] 0.03 pages/s, ~344 min left
[610/1200] 0.03 pages/s, ~333 min left
[620/1200] 0.03 pages/s, ~323 min left
