key,host,kind,id,title,duration,content_url,url,pages
wistia:074k44itcx,wistia,media,074k44itcx,Flock911_video-on scene,PT4S,https://embed-ssl.wistia.com/deliveries/38a9644920e6f67ca13c95caaa506715e71c6a4e.m3u8,https://fast.wistia.com/embed/medias/074k44itcx.json,served/blog/flock-911-flock-aerodome-integration.html
wistia:08j88jk9lr,wistia,media,08j88jk9lr,Flock2568_Engineer_Career Page_FINAL_captions,PT2M57S,https://embed-ssl.wistia.com/deliveries/6121343df40df84440d51f36f29e67e4bd4f7fb3.m3u8,https://fast.wistia.com/embed/medias/08j88jk9lr.json,served/careers/engineering.html
wistia:0ejcqievm7,wistia,media,0ejcqievm7,Dunwoody IACP 2024,PT3M13S,https://embed-ssl.wistia.com/deliveries/a6cbf729dd4d1c3222737b1be39a102842b77bc7.m3u8,https://fast.wistia.com/embed/medias/0ejcqievm7.json,served/blog/dunwoody-detective-utilizes-flock-data-to-prevent-potentially-dangerous-heist.html
wistia:0f8twzg7ma,wistia,media,0f8twzg7ma,Hope Rebuilt: Flock Safety Aids in Bombing at Healthcare Clinic,PT3M49S,https://embed-ssl.wistia.com/deliveries/1c44a8f8dfa6c40278ce606e7378d8f6f371dc85.m3u8,https://fast.wistia.com/embed/medias/0f8twzg7ma.json,served/blog/hope-rebuilt-flock-safety-aids-in-bombing-at-healthcare-clinic.html
wistia:0j9c8cqrpg,wistia,media,0j9c8cqrpg,Warehouse Ribbon Cutting 4.2.25-VEED,PT13M27S,https://embed-ssl.wistia.com/deliveries/df4eb0f47f2c5ae52746ff8367eae9c6d8f11e4d.m3u8,https://fast.wistia.com/embed/medias/0j9c8cqrpg.json,served/blog/flock-expands-georgia-footprint-with-new-manufacturing-facility.html
wistia:1mkkyl5rhl,wistia,media,1mkkyl5rhl,DFR_speed-zoom,PT14S,https://embed-ssl.wistia.com/deliveries/9ede59154d017ebc5b8e09111391f612e8c77579.m3u8,https://fast.wistia.com/embed/medias/1mkkyl5rhl.json,served/blog/dfr-need-for-speed.html
wistia:1rfpgzsbbd,wistia,media,1rfpgzsbbd,FLOCK2668_MST-PerimterProBooth-2-v6-260604,PT54S,https://embed-ssl.wistia.com/deliveries/9d9f8d811e788b26a075da15734cc5b7ea3e2071.m3u8,https://fast.wistia.com/embed/medias/1rfpgzsbbd.json,served/lp/perimeter-pro-demo.html
wistia:25nnkrsazy,wistia,media,25nnkrsazy,Castle Rock PD Dual Lens PTZ Testimonial,PT1M9S,https://embed-ssl.wistia.com/deliveries/91db70c9d24bad53b5f65b33137908e4883b7ef7.m3u8,https://fast.wistia.com/embed/medias/25nnkrsazy.json,served/video/how-castle-rock-police-department-extended-visibility-with-flock-dual-lens-ptz.html
wistia:47dbv620tq,wistia,media,47dbv620tq,2025 #Solved Awards: Inter-Agency Collaboration,PT2M18S,https://embed-ssl.wistia.com/deliveries/66d84549b017c7252ebfd8a68acbff895708ba1f.m3u8,https://fast.wistia.com/embed/medias/47dbv620tq.json,served/solved-stories-awards.html
wistia:4o3kds5q3w,wistia,media,4o3kds5q3w,Real-Time Policing in Action with Flock Safety,PT2M25S,https://embed-ssl.wistia.com/deliveries/80d06c13ce57c044fdcc32958c10ef7a59576c95.m3u8,https://fast.wistia.com/embed/medias/4o3kds5q3w.json,served/video/real-time-policing-in-action.html
