key,host,probe_status,playable,title,detail
wistia:074k44itcx,wistia,ok,no,Flock911_video-on scene,Flock911_video-on scene | 3.53333s | assets:original+iphone_video+mp4_video+md_mp4_video+hd_mp4_video+hd_mp4_video+still_image+storyboard
wistia:08j88jk9lr,wistia,ok,no,Flock2568_Engineer_Career Page_FINAL_captions,Flock2568_Engineer_Career Page_FINAL_captions | 176.634s | assets:original+iphone_video+mp4_video+md_mp4_video+hd_mp4_video+hd_mp4_video+still_image+storyboard
wistia:0ejcqievm7,wistia,ok,no,Dunwoody IACP 2024,Dunwoody IACP 2024 | 193.203s | assets:original+iphone_video+mp4_video+md_mp4_video+hd_mp4_video+hd_mp4_video+hd_mp4_video+still_image+storyboard
wistia:0f8twzg7ma,wistia,ok,no,Hope Rebuilt: Flock Safety Aids in Bombing at Healthcare Clinic,Hope Rebuilt: Flock Safety Aids in Bombing at Healthcare Clinic | 228.736s | assets:original+iphone_video+mp4_video+md_mp4_video+hd_mp4_video+hd_mp4_video+hd_mp4_video+still_image+storyboard
wistia:0j9c8cqrpg,wistia,ok,no,Warehouse Ribbon Cutting 4.2.25-VEED,Warehouse Ribbon Cutting 4.2.25-VEED | 806.667s | assets:original+iphone_video+mp4_video+md_mp4_video+hd_mp4_video+still_image+storyboard
wistia:1mkkyl5rhl,wistia,ok,no,DFR_speed-zoom,DFR_speed-zoom | 14.2476s | assets:original+iphone_video+mp4_video+md_mp4_video+hd_mp4_video+hd_mp4_video+storyboard+still_image
wistia:1rfpgzsbbd,wistia,ok,no,FLOCK2668_MST-PerimterProBooth-2-v6-260604,FLOCK2668_MST-PerimterProBooth-2-v6-260604 | 54.3042s | assets:original+iphone_video+mp4_video+md_mp4_video+hd_mp4_video+hd_mp4_video+still_image+storyboard
wistia:25nnkrsazy,wistia,ok,no,Castle Rock PD Dual Lens PTZ Testimonial,Castle Rock PD Dual Lens PTZ Testimonial | 69.2883s | assets:original+iphone_video+mp4_video+md_mp4_video+hd_mp4_video+hd_mp4_video+still_image+storyboard
wistia:47dbv620tq,wistia,ok,no,2025 #Solved Awards: Inter-Agency Collaboration,2025 #Solved Awards: Inter-Agency Collaboration | 138.089s | assets:original+iphone_video+mp4_video+md_mp4_video+hd_mp4_video+hd_mp4_video+still_image+storyboard
wistia:4o3kds5q3w,wistia,ok,no,Real-Time Policing in Action with Flock Safety,Real-Time Policing in Action with Flock Safety | 144.959s | assets:original+iphone_video+mp4_video+md_mp4_video+hd_mp4_video+hd_mp4_video+hd_mp4_video+still_image+storyboard
wistia:556uxkdb45,wistia,ok,no,original,original | 64.505s | assets:original+iphone_video+mp4_video+md_mp4_video+hd_mp4_video+still_image+storyboard
wistia:5bp1hv7kcf,wistia,ok,no,"How to Prevent Crime, Not Just Respond to It","How to Prevent Crime, Not Just Respond to It | 2037.21s | assets:original+iphone_video+mp4_video+md_mp4_video+hd_mp4_video+still_image+storyboard"
wistia:5mqb11sy5r,wistia,ok,no,2025 #Solved Awards: Best Use of LPR,2025 #Solved Awards: Best Use of LPR | 130.292s | assets:original+iphone_video+mp4_video+md_mp4_video+hd_mp4_video+hd_mp4_video+still_image+storyboard
wistia:5odzh9o0oh,wistia,ok,no,Keeping Healthcare Workers Safe: Reducing the Risk of Workplace Violence,Keeping Healthcare Workers Safe: Reducing the Risk of Workplace Violence | 3729.6s | assets:original+iphone_video+mp4_video+md_mp4_video+hd_mp4_video+storyboard+still_image
wistia:5rro4pbkmo,wistia,ok,no,Dierbergs 5,Dierbergs 5 | 22.207s | assets:original+iphone_video+mp4_video+md_mp4_video+hd_mp4_video+hd_mp4_video+still_image+storyboard
wistia:65k2jzcox9,wistia,ok,no,CT Product Webinar,CT Product Webinar | 2386.34s | assets:original+iphone_video+mp4_video+md_mp4_video+hd_mp4_video+storyboard+still_image
wistia:67fu6zztnh,wistia,ok,no,Enhanced LPR Overview,Enhanced LPR Overview | 41.2667s | assets:original+iphone_video+mp4_video+md_mp4_video+hd_mp4_video+hd_mp4_video+still_image+storyboard
wistia:72xd85l9iz,wistia,ok,no,Case Study Fidelis Video 3,Case Study Fidelis Video 3 | 16.764s | assets:original+iphone_video+mp4_video+md_mp4_video+hd_mp4_video+still_image+storyboard
wistia:77o31nkq0o,wistia,bad-status:unknown,no,, | ?s | assets:NONE
wistia:7byqzva4ly,wistia,ok,no,Who Has Access to Your Data? (Flock Explained),Who Has Access to Your Data? (Flock Explained) | 45.337s | assets:original+iphone_video+mp4_video+md_mp4_video+hd_mp4_video+hd_mp4_video+hd_mp4_video+still_image+storyboard
