url,rel,captured_title,restored_title
https://www.flocksafety.com/abm/burlington,abm/burlington.html,Message from Flock Safety,Burlington
https://www.flocksafety.com/abm/nike,abm/nike.html,Message from Flock Safety,Nike
https://www.flocksafety.com/abm/publix,abm/publix.html,Message from Flock Safety,Publix
https://www.flocksafety.com/abm/unitedhealth-group,abm/unitedhealth-group.html,Message from Flock Safety,UnitedHealth Group
https://www.flocksafety.com/are-you-ready-for-the-new-budget-year,are-you-ready-for-the-new-budget-year.html,Message from Flock Safety,Are You Ready for the New Budget Year?
https://www.flocksafety.com/blog,blog.html,Message from Flock Safety,"Flock Safety Blog: Public Safety News, Insights & Tips"
https://www.flocksafety.com/blog/5-places-your-community-may-need-better-coverage,blog/5-places-your-community-may-need-better-coverage.html,,5 Places Your Community May Need Better Coverage
https://www.flocksafety.com/blog/are-flock-products-discriminatory,blog/are-flock-products-discriminatory.html,,Are Flock Products Discriminatory?
https://www.flocksafety.com/blog/building-on-trust-updates-to-flocks-terms-and-conditions,blog/building-on-trust-updates-to-flocks-terms-and-conditions.html,,Building on Trust: Updates to Flock’s Terms and Conditions
https://www.flocksafety.com/blog/california-sb34-what-private-organizations-using-alpr-need-to-know,blog/california-sb34-what-private-organizations-using-alpr-need-to-know.html,,California SB34: What Private Organizations Using ALPR Need to Know
https://www.flocksafety.com/blog/colorado-hoa-chose-flock-neighborhood-security-cameras,blog/colorado-hoa-chose-flock-neighborhood-security-cameras.html,,HOA Security: Why Boards Choose License Plate Reader Cameras
https://www.flocksafety.com/blog/customers-own-and-control-their-flock-data,blog/customers-own-and-control-their-flock-data.html,,Customers Own and Control Their Flock Data
https://www.flocksafety.com/blog/flock-applauds-virginia-court-of-appeals-ruling-affirming-constitutionality-of-lpr-cameras,blog/flock-applauds-virginia-court-of-appeals-ruling-affirming-constitutionality-of-lpr-cameras.html,,Flock Applauds Virginia Court of Appeals Ruling Affirming Constitutionality of LPR Cameras
https://www.flocksafety.com/blog/flock-lpr-vs-fixed-video-same-camera-body-two-different-jobs,blog/flock-lpr-vs-fixed-video-same-camera-body-two-different-jobs.html,,"Flock LPR vs. Fixed Video: Same Camera Body, Two Different Jobs"
https://www.flocksafety.com/blog/flock-safety-solved-stories-recap-edition-024,blog/flock-safety-solved-stories-recap-edition-024.html,,#SolvedStories | Edition 024
https://www.flocksafety.com/blog/getac-and-flock-safety-join-forces-to-enhance-public-safety-solutions-for-law-enforcement,blog/getac-and-flock-safety-join-forces-to-enhance-public-safety-solutions-for-law-enforcement.html,,Getac and Flock Safety Join Forces to Enhance Public Safety Solutions for Law Enforcement
https://www.flocksafety.com/blog/how-communities-can-extend-public-safety-visibility-during-summer,blog/how-communities-can-extend-public-safety-visibility-during-summer.html,,How Communities Can Extend Public Safety Visibility During Summer
