rel,captured_title,restored_title
abm/amazon.html,"Message from Flock Safety","Amazon"
abm/burlington.html,"Message from Flock Safety","Burlington"
abm/disney.html,"Message from Flock Safety","Disney"
abm/edison.html,"Message from Flock Safety","Edison"
abm/international-paper.html,"Message from Flock Safety","International Paper"
abm/publix.html,"Message from Flock Safety","Publix"
abm/unitedhealth-group.html,"Message from Flock Safety","UnitedHealth Group"
abm/walmart.html,"Message from Flock Safety","Walmart"
accessibility-plan.html,"Message from Flock Safety","Flock Safety Accessibility Plan | WCAG 2.1 Commitment"
blog.html,"Message from Flock Safety","Flock Safety Blog: Public Safety News, Insights &amp; Tips"
book-a-demo---ctv.html,"Message from Flock Safety","Book a Demo - CTV"
book-a-demo-arizona.html,"Message from Flock Safety","Book a demo-Arizona"
book-a-demo-blue-eye.html,"Message from Flock Safety","Book a demo Blue Eye"
book-a-demo-form-test.html,"Message from Flock Safety","Book a demo form test"
book-a-demo-multistep.html,"Message from Flock Safety","Book a Demo with Flock Safety Today"
book-a-demo-neighborhoods.html,"Message from Flock Safety","Book a Demo for Your Neighborhood | Flock Safety"
book-a-demo-short-form-paid.html,"Message from Flock Safety","Book Your Flock Safety Demo Now | Public Safety Tools"
book-a-demo-short-form-test.html,"Message from Flock Safety","Get Started with Flock Safety Today"
book-a-demo.html,"Message from Flock Safety","Book a Demo | See the Flock Safety Platform in Action"
brand-partner-guide.html,"Message from Flock Safety","Flock Safety Brand Partner Guide: Logo &amp; Style Rules"
chilipiper-2.html,"Message from Flock Safety","Chilipiper 2"
customers.html,"Message from Flock Safety","Flock Safety Customer Stories &amp; Case Studies by Industry"
drones-demo.html,"Message from Flock Safety","Flock Alpha Drone as First Responder | Book a Demo"
ebooks/13-fall-hotspots-to-secure-with-a-mobile-security-trailer.html,"Message from Flock Safety","13 Fall Hotspots to Secure With a Mobile Trailer"
ebooks/2023-back-to-school-safety-kit.html,"Message from Flock Safety","Back-to-School Safety Kit for Families &amp; Communities"
ebooks/2025-community-safety-guide.html,"Message from Flock Safety","2025 Community Safety Guide: 4 Strategies to Deter Crime"
ebooks/5-ways-to-mitigate-retail-risk-for-black-friday-beyond.html,"Message from Flock Safety","5 Ways to Mitigate Retail Risk for Black Friday &amp; Beyond"
ebooks/7-security-strategies-from-law-enforcement-investigators-to-better-protect-your-business-from-crime.html,"Message from Flock Safety","7 Security Strategies From Law Enforcement Investigators"
ebooks/a-guide-to-benchmarking-fixed-lpr-solutions.html,"Message from Flock Safety","How to Benchmark Fixed LPR Solutions Before You Buy"
ebooks/building-safer-communities-from-the-ground-up-ebook.html,"Message from Flock Safety","Free eBook: Security Tips for Builders &amp; Developers"
ebooks/community-safety-use-case-guide.html,"Message from Flock Safety","Community Safety Use Case Guide"
