path,change,old_status,new_status,old_title,new_title,old_nav,new_nav,old_type,new_type,redirect_target,action
/abm,removed,404,,Not Found,,crawl-only [not-in-sitemap],,dead,,,
/articles/200-vs-400-feet-dfr,added,,200 (redirect),,"Why Drone as First Responder Needs 400 Feet, Not 200",,crawl-only [not-in-sitemap],,redirect,/blog/200-vs-400-feet-dfr,
/articles/flock-911-flock-aerodome-integration,added,,200 (redirect),,Flock911 + DFR: Drones on Scene Before Dispatch Logs In,,crawl-only [not-in-sitemap],,redirect,/blog/flock-911-flock-aerodome-integration,
/articles/flock-safety-appoints-jennifer-ceran,added,,200 (redirect),,Flock Safety Appoints Jennifer Ceran as Audit Chair,,crawl-only [not-in-sitemap],,redirect,/blog/flock-safety-appoints-jennifer-ceran,
/articles/flock-safety-appoints-julie-herendeen,added,,200 (redirect),,Flock Safety Appoints Julie Herendeen to Board,,crawl-only [not-in-sitemap],,redirect,/blog/flock-safety-appoints-julie-herendeen,
/articles/flock-safety-expands-into-drones-for-law-enforcement-with-acquisition-of-aerodome,added,,200 (redirect),,"Flock Safety Acquires Aerodome, Expands Into Drones",,crawl-only [not-in-sitemap],,redirect,/blog/flock-safety-expands-into-drones-for-law-enforcement-with-acquisition-of-aerodome,
/articles/flock-safety-recognized-on-the-2023-inc-5000,added,,200 (redirect),,Flock Safety Ranks No. 189 on the 2023 Inc. 5000 List,,crawl-only [not-in-sitemap],,redirect,/blog/flock-safety-recognized-on-the-2023-inc-5000,
/articles/introducing-law-enforcement-network,added,,200 (redirect),,Flock's National LPR Network: How Agencies Share Leads,,crawl-only [not-in-sitemap],,redirect,/blog/introducing-law-enforcement-network,
/articles/transparency-portal,added,,200 (redirect),,Flock and Piedmont PD Launch First LPR Transparency Portal,,crawl-only [not-in-sitemap],,redirect,/blog/transparency-portal,
/blog-audiences/community-safety,added,,404,,Not Found,,crawl-only [not-in-sitemap],,dead,,
/blog-audiences/elected-officials,added,,404,,Not Found,,crawl-only [not-in-sitemap],,dead,,
/blog-audiences/federal,added,,404,,Not Found,,crawl-only [not-in-sitemap],,dead,,
/blog-audiences/healthcare,added,,404,,Not Found,,crawl-only [not-in-sitemap],,dead,,
/blog-audiences/law-enforcement,added,,404,,Not Found,,crawl-only [not-in-sitemap],,dead,,
/blog-audiences/property-managers,added,,404,,Not Found,,crawl-only [not-in-sitemap],,dead,,
/blog-audiences/retail,added,,404,,Not Found,,crawl-only [not-in-sitemap],,dead,,
/blog-audiences/schools,added,,404,,Not Found,,crawl-only [not-in-sitemap],,dead,,
/blog-audiences/transportation,added,,404,,Not Found,,crawl-only [not-in-sitemap],,dead,,
/blog/5-places-your-community-may-need-better-coverage,retitled,200,200,5 Places Your Community May Need Better Coverage,,sitemap-only,sitemap-only,post,post,,
/blog/are-flock-products-discriminatory,retitled,200,200,Are Flock Products Discriminatory?,,sitemap-only,sitemap-only,post,post,,
/blog/building-on-trust-updates-to-flocks-terms-and-conditions,retitled,200,200,Building on Trust: Updates to Flock’s Terms and Conditions,,sitemap-only,sitemap-only,post,post,,
/blog/california-sb34-what-private-organizations-using-alpr-need-to-know,retitled,200,200,California SB34: What Private Organizations Using ALPR Need to Know,,header,header,post,post,,
/blog/colorado-hoa-chose-flock-neighborhood-security-cameras,retitled,200,200,HOA Security: Why Boards Choose License Plate Reader Cameras,,sitemap-only,sitemap-only,post,post,,
/blog/customers-own-and-control-their-flock-data,retitled;nav-changed,200,200,Customers Own and Control Their Flock Data,,sitemap-only,header,post,post,,
/blog/flock-applauds-virginia-court-of-appeals-ruling-affirming-constitutionality-of-lpr-cameras,retitled,200,200,Flock Applauds Virginia Court of Appeals Ruling Affirming Constitutionality of LPR Cameras,,sitemap-only,sitemap-only,post,post,,
/blog/flock-guardrails-address-lpr-privacy-concerns-and-police-transparency,nav-changed,200,200,"Flock Updates Privacy, Accountability, Security, and Transparency Safeguards","Flock Updates Privacy, Accountability, Security, and Transparency Safeguards",sitemap-only,header,post,post,,
